,fight_id,round,SMA_blue,SSHL_blue,RVL_blue,SGA_blue,SML_blue,GRC_blue,TDL_blue,SSA_blue,FT_blue,SGBL_blue,SUL_blue,KDL_blue,SSBL_blue,SSBA_blue,SGBA_blue,TDA_blue,SGHL_blue,SSHA_blue,KOL_blue,ST_blue,SGHA_blue,SMA_red,SSHL_red,RVL_red,SGA_red,SML_red,GRC_red,TDL_red,SSA_red,FT_red,SGBL_red,SUL_red,KDL_red,SSBL_red,SSBA_red,SGBA_red,TDA_red,SGHL_red,SSHA_red,KOL_red,ST_red,SGHA_red,blue,red
1,7673,2,1,11,0,0,1,2,0,20,0,0,0,0,1,1,0,0,0,18,0,52,0,0,2,0,0,0,0,0,10,0,0,0,0,2,2,0,0,0,8,0,52,0,1531,2734
0,8175,1,0,3,0,2,0,2,0,14,5,0,0,1,1,3,0,1,2,7,1,79,2,0,7,0,0,0,5,0,18,5,0,0,0,0,2,0,0,0,16,0,79,0,1531,2890
0,9745,1,2,16,0,3,1,36,0,44,13,0,1,1,11,13,0,1,2,29,0,150,3,0,13,0,0,0,13,0,33,13,0,0,1,3,3,0,0,0,22,0,150,0,1531,2896
0,11144,1,1,1,0,5,0,98,0,6,162,0,1,0,1,1,0,0,4,1,0,34,5,0,1,1,7,0,162,0,9,162,0,0,0,2,3,0,0,5,5,0,34,7,1531,3269
1,11144,2,1,2,0,2,0,0,0,7,194,0,1,0,1,2,0,0,2,4,0,106,2,0,7,0,16,0,193,1,20,194,0,0,0,3,3,0,2,12,16,0,106,16,1531,3269
2,11144,3,2,2,1,0,0,48,0,17,108,0,0,0,3,6,0,0,0,10,0,144,0,0,9,0,6,0,108,1,25,108,3,1,0,2,2,3,2,3,22,0,144,3,1531,3269
0,6216,1,0,6,0,5,0,3,0,32,3,0,0,1,1,6,0,0,4,21,1,91,5,0,4,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,9,0,91,0,1711,1595
0,5548,1,0,10,0,0,0,0,0,73,0,0,0,0,13,21,0,0,0,51,0,301,0,0,11,0,0,0,0,0,57,0,0,0,0,1,3,0,2,0,46,0,301,0,1711,2168
1,5548,2,0,15,0,0,0,0,0,80,0,0,0,0,18,27,0,0,0,50,0,302,0,0,17,0,0,0,0,0,62,0,0,0,0,5,10,0,4,0,52,0,302,0,1711,2168
2,5548,3,0,7,0,0,0,0,0,69,0,0,0,0,18,37,0,0,0,32,0,299,0,0,24,0,0,0,0,0,82,0,0,0,0,6,8,0,1,0,71,0,299,0,1711,2168
0,7759,1,0,6,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0,32,0,301,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,19,0,301,0,1711,2773
1,7759,2,0,4,0,0,0,0,0,51,0,0,0,0,5,6,0,0,0,43,0,300,0,0,2,0,0,0,0,0,18,0,0,0,0,5,10,0,1,0,8,0,300,0,1711,2773
2,7759,3,0,3,0,0,0,0,0,41,0,0,0,0,4,6,0,0,0,35,0,251,0,0,3,0,0,0,1,0,45,0,0,0,1,2,4,0,1,0,38,1,251,0,1711,2773
0,6684,1,0,23,0,3,0,6,1,114,0,0,0,0,16,20,0,1,1,90,0,285,3,0,23,0,0,0,0,0,87,0,0,1,0,3,4,0,0,0,55,0,285,0,1711,2896
1,6684,2,0,23,0,0,0,0,0,83,5,0,0,0,24,28,0,2,0,53,0,264,0,0,39,0,0,0,5,0,87,5,0,0,0,3,4,0,0,0,69,1,264,0,1711,2896
0,7510,1,0,13,0,0,0,5,1,65,5,0,0,0,3,3,0,3,0,59,0,297,0,0,30,0,0,0,0,0,84,5,0,1,0,10,14,0,0,0,70,0,297,0,2238,1936
1,7510,2,0,29,0,0,0,0,0,92,0,0,0,0,4,4,0,1,0,88,0,301,0,0,60,0,0,0,0,0,126,0,0,0,0,3,5,0,0,0,118,0,301,0,2238,1936
2,7510,3,0,23,0,0,0,3,1,81,3,0,0,0,4,5,0,2,0,73,0,296,0,0,44,0,0,0,0,0,84,3,0,1,0,4,6,0,0,0,76,0,296,0,2238,1936
3,7510,4,0,22,0,0,0,0,0,54,0,0,1,0,5,6,0,5,0,47,0,283,0,0,109,0,1,0,14,1,195,0,0,0,0,24,30,0,1,1,165,0,283,1,2238,1936
0,9262,1,0,9,0,0,0,0,0,51,0,0,0,0,3,5,0,0,0,39,0,300,0,0,14,0,0,0,0,0,52,0,0,0,0,5,7,0,0,0,32,0,300,0,2238,2824
1,9262,2,0,14,0,0,0,0,0,58,0,0,0,0,5,5,0,0,0,47,0,297,0,0,19,0,0,0,0,0,61,0,0,0,0,5,8,0,0,0,38,0,297,0,2238,2824
2,9262,3,2,12,1,0,0,41,1,40,55,0,0,0,5,8,0,1,0,32,0,172,0,0,15,1,57,0,73,0,42,55,0,1,0,3,3,0,0,31,24,0,172,57,2238,2824
3,9262,4,1,5,0,0,0,8,1,15,24,0,1,0,1,1,0,2,0,13,0,123,0,0,6,1,36,0,153,0,22,24,0,0,0,1,2,0,0,22,14,0,123,36,2238,2824
4,9262,5,0,19,0,0,0,0,0,70,0,0,0,0,6,7,0,2,0,62,0,298,0,0,39,0,0,0,0,0,83,0,0,0,0,6,6,0,0,0,69,0,298,0,2238,2824
0,7651,1,0,3,0,0,0,0,0,20,15,0,2,0,1,5,0,0,0,14,0,282,0,0,11,0,0,0,15,2,43,15,0,0,0,7,8,0,8,0,21,0,282,0,2558,1137
1,7651,2,0,11,0,0,0,15,0,48,42,0,2,0,5,7,0,0,0,40,0,243,0,1,14,0,0,0,42,2,45,42,0,0,0,7,8,0,5,0,35,0,243,0,2558,1137
2,7651,3,0,18,0,7,0,0,0,47,24,0,1,0,7,9,0,0,7,38,0,275,7,0,14,0,0,0,24,1,34,24,0,0,0,2,2,0,6,0,32,0,275,0,2558,1137
0,8599,1,0,4,0,0,0,0,0,18,0,0,0,0,3,4,0,1,0,12,0,161,0,0,30,0,0,0,27,0,64,0,0,0,1,3,4,0,2,0,57,1,161,0,2558,2168
0,6394,1,0,9,0,5,0,61,1,43,61,0,1,0,11,15,0,1,3,28,0,179,5,0,3,0,5,0,11,1,26,61,0,1,0,5,5,0,4,3,21,0,179,5,2558,2773
1,6394,2,0,12,0,0,0,25,1,58,25,0,3,0,3,10,0,2,0,47,0,194,0,1,18,0,0,0,45,3,58,25,0,1,0,6,7,0,3,0,46,0,194,0,2558,2773
2,6394,3,0,24,0,0,0,7,1,73,7,0,4,0,2,5,0,1,0,68,0,192,0,0,25,0,2,0,27,4,69,7,1,1,0,14,17,1,5,1,46,0,192,1,2558,2773
0,6903,1,1,14,1,0,0,4,0,30,4,0,0,0,2,4,0,0,0,24,0,187,0,0,26,0,4,0,109,1,59,4,2,1,0,3,4,2,2,2,54,0,187,2,1069,1595
1,6903,2,2,5,1,10,0,51,1,12,51,0,2,0,0,2,0,1,10,10,0,48,10,0,2,0,24,0,192,3,7,51,0,2,0,0,0,0,3,16,6,0,48,24,1069,1595
2,6903,3,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,26,0,0,1,0,0,0,81,1,6,0,0,0,0,0,0,0,1,0,6,1,26,0,1069,1595
0,6012,1,0,10,0,0,0,0,0,34,0,0,0,0,0,0,0,1,0,30,0,300,0,0,8,0,0,0,0,0,45,0,0,0,0,4,7,0,0,0,28,0,300,0,1069,1657
1,6012,2,0,18,0,0,0,0,0,50,0,0,0,0,4,4,0,1,0,46,0,301,0,0,9,0,0,0,0,0,57,0,0,0,0,8,13,0,0,0,36,0,301,0,1069,1657
2,6012,3,0,7,0,0,0,0,0,47,0,0,0,0,1,3,0,1,0,40,0,299,0,0,10,0,0,0,0,0,62,0,0,0,0,3,6,0,0,0,37,0,299,0,1069,1657
0,7447,1,0,8,0,0,0,0,0,49,0,0,0,0,6,8,0,0,0,35,0,300,0,0,21,0,0,0,0,0,85,0,0,0,0,8,13,0,0,0,52,0,300,0,1069,1815
1,7447,2,0,19,0,6,0,71,0,44,71,0,0,1,3,5,0,0,5,39,0,217,6,0,43,0,6,0,4,0,103,71,2,1,0,11,17,2,0,2,75,1,217,4,1069,1815
0,6414,1,0,9,0,0,0,0,0,56,0,0,0,0,4,13,0,1,0,36,0,300,0,0,11,0,0,0,0,0,58,0,0,0,0,2,8,0,0,0,36,0,300,0,1069,1936
1,6414,2,0,8,0,0,0,0,0,51,0,0,1,0,4,16,0,1,0,31,0,289,0,0,9,0,2,0,10,0,61,0,0,0,1,12,15,0,0,0,41,0,289,0,1069,1936
2,6414,3,0,8,0,0,0,0,0,51,0,0,1,0,9,15,0,0,0,33,0,263,0,0,28,0,0,0,22,2,87,0,0,0,0,15,18,0,2,0,66,1,263,0,1069,1936
0,10128,1,0,25,0,0,0,0,0,57,41,0,2,0,2,2,0,0,0,53,0,259,0,0,16,0,1,0,41,2,68,41,0,0,0,6,12,0,4,0,53,0,259,1,1595,1442
1,10128,2,0,2,0,0,0,0,0,3,269,0,1,0,0,0,0,0,0,3,0,31,0,0,0,0,21,0,269,1,4,269,0,0,0,2,3,0,1,16,1,0,31,21,1595,1442
2,10128,3,2,4,0,6,1,47,0,10,0,0,0,0,0,0,0,0,3,9,0,73,6,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,2,0,4,0,73,0,1595,1442
0,7737,1,0,46,0,0,0,0,0,115,0,0,0,0,6,8,0,1,0,105,0,300,0,0,28,0,0,0,0,0,72,0,0,0,0,2,2,0,0,0,69,0,300,0,1595,1936
1,7737,2,0,29,0,0,0,0,0,74,0,0,0,0,1,2,0,1,0,70,0,299,0,0,20,0,0,0,0,0,89,0,0,0,0,12,21,0,0,0,68,0,299,0,1595,1936
2,7737,3,0,27,0,0,0,0,0,68,0,0,0,0,4,5,0,2,0,61,0,300,0,0,44,0,0,0,0,0,111,0,0,0,0,8,8,0,0,0,102,0,300,0,1595,1936
3,7737,4,0,29,0,0,0,40,1,64,40,0,0,0,4,5,0,4,0,58,0,257,0,1,32,0,0,0,3,0,89,40,0,1,0,10,11,0,0,0,78,0,257,0,1595,1936
4,7737,5,0,22,0,0,0,0,0,60,0,0,0,0,3,4,0,0,0,55,0,297,0,0,17,0,0,0,0,0,85,0,0,0,0,7,8,0,0,0,77,0,297,0,1595,1936
0,11320,1,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,4,0,37,0,0,4,0,2,0,260,1,7,0,0,0,0,0,0,0,1,2,7,0,37,2,1595,2466
1,11320,2,0,18,0,0,0,0,0,58,0,0,1,0,5,6,0,0,0,51,0,251,0,0,20,0,3,0,19,1,43,0,0,0,0,3,3,0,4,3,39,0,251,3,1595,2466
2,11320,3,0,13,0,0,0,5,0,36,5,0,1,0,1,1,0,0,0,34,0,165,0,1,17,0,1,0,124,1,23,5,0,0,0,0,0,0,1,1,23,0,165,1,1595,2466
3,11320,4,0,12,0,0,0,0,0,61,0,0,1,0,11,12,0,0,0,49,0,152,0,0,17,0,0,0,59,1,44,0,0,0,0,3,3,0,6,0,41,0,152,0,1595,2466
4,11320,5,0,9,0,0,0,0,0,23,0,0,0,0,1,1,0,0,0,21,0,129,0,1,17,0,0,1,33,1,33,0,0,0,0,1,1,0,4,0,32,0,129,0,1595,2466
0,7106,1,0,49,0,0,0,0,0,132,0,0,0,0,12,16,0,0,0,114,0,299,0,0,13,0,0,0,0,0,64,0,0,0,0,1,2,0,0,0,38,0,299,0,1595,2896
1,7106,2,0,47,0,0,0,0,0,122,0,0,0,0,3,4,0,3,0,113,0,296,0,0,28,0,0,0,0,0,85,0,0,0,0,4,5,0,0,0,65,0,296,0,1595,2896
2,7106,3,0,28,0,0,0,0,0,73,0,0,0,0,6,6,0,2,0,63,0,293,0,0,14,0,0,0,0,0,55,0,0,0,0,4,4,0,0,0,34,0,293,0,1595,2896
3,7106,4,0,18,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,24,1,32,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,6,0,32,0,1595,2896
4,10590,1,0,21,0,0,0,0,0,51,0,0,0,0,4,4,0,0,0,45,0,300,0,0,18,0,0,0,0,0,56,0,0,0,0,5,5,0,0,0,41,0,300,0,1595,2896
5,10590,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,60,0,0,4,0,1,0,0,0,9,0,0,0,1,2,2,0,0,1,6,1,60,1,1595,2896
0,6543,1,1,10,0,6,0,20,0,35,44,0,1,0,2,2,0,0,5,33,0,218,6,0,4,0,1,0,44,1,22,44,0,0,0,4,5,0,7,0,17,0,218,1,1997,2157
1,6543,2,0,4,0,0,0,1,0,18,53,0,0,0,4,5,0,1,0,13,0,137,0,1,5,0,3,1,53,0,17,53,0,0,0,2,2,0,1,0,15,0,137,3,1997,2157
0,6255,1,0,6,0,0,0,0,0,31,0,0,0,0,10,11,0,1,0,18,0,208,0,0,4,0,0,0,0,0,42,0,0,0,0,7,10,0,0,0,25,0,208,0,1997,2316
1,6255,2,0,3,0,5,0,125,1,22,0,0,0,0,2,4,0,2,4,18,0,145,4,0,5,0,1,0,0,0,24,0,0,1,0,1,5,0,0,1,14,0,145,1,1997,2316
2,6255,3,0,3,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,8,0,130,0,0,0,0,0,0,0,0,17,0,0,0,0,3,4,0,0,0,12,0,130,0,1997,2316
0,8567,1,2,1,0,4,0,124,2,16,22,0,0,0,4,5,1,3,3,10,0,83,3,0,4,0,1,0,22,0,13,22,0,2,0,0,0,0,0,0,13,0,83,1,1997,3439
1,8567,2,0,3,1,1,0,0,0,21,143,0,0,0,2,6,0,0,1,11,0,157,1,0,9,0,2,0,143,0,30,143,0,1,1,4,4,0,0,0,25,0,157,2,1997,3439
2,8567,3,0,3,0,4,0,3,0,12,0,0,0,1,1,2,0,0,4,6,1,87,4,0,2,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,22,0,87,0,1997,3439
0,9093,1,0,6,0,0,0,215,1,28,215,0,0,0,1,1,0,2,0,24,0,85,0,0,2,0,4,0,0,0,14,215,0,1,0,1,1,0,0,4,13,0,85,4,2168,1815
1,9093,2,1,0,1,8,0,241,1,6,268,0,0,0,0,0,0,2,5,5,0,27,8,1,0,0,1,0,5,0,3,268,0,2,0,1,1,0,0,1,2,0,27,1,2168,1815
2,9093,3,0,3,0,2,0,264,1,11,264,0,0,0,2,2,0,2,2,9,0,36,2,0,0,0,5,0,0,0,7,264,0,1,0,3,3,0,0,3,4,0,36,5,2168,1815
0,6474,1,0,14,0,0,0,0,0,67,0,0,0,0,6,10,0,1,0,49,0,299,0,0,7,0,0,0,0,0,45,0,0,0,0,8,11,0,0,0,33,0,299,0,2168,1657
1,6474,2,0,17,0,0,0,0,0,54,0,0,0,0,4,5,0,1,0,45,0,212,0,0,5,0,1,0,1,0,36,0,0,0,1,5,6,0,0,1,27,1,212,1,2168,1657
0,7151,1,0,2,0,0,0,0,0,11,1,0,0,0,1,3,0,0,0,7,0,40,0,0,3,0,2,0,1,0,11,1,0,0,1,3,3,0,0,2,8,1,40,2,2168,3058
0,11013,1,0,0,0,0,0,0,0,8,3,0,0,0,0,1,0,0,0,5,0,61,0,0,6,0,3,0,3,0,12,3,0,0,1,0,0,0,0,2,12,1,61,3,2168,3269
0,8718,1,3,1,0,1,0,0,0,2,16,0,4,0,0,1,0,0,0,1,0,19,1,0,2,0,10,0,251,4,6,16,1,0,0,0,0,1,5,6,6,0,19,7,2315,2213
1,8718,2,2,0,0,10,0,23,0,1,23,0,2,0,0,0,0,0,7,1,0,9,10,0,1,0,0,0,235,2,5,23,0,0,0,0,1,0,3,0,3,0,9,0,2315,2213
2,8718,3,2,2,1,0,1,21,0,12,21,0,0,0,2,2,0,0,0,10,0,29,0,0,0,0,0,0,10,1,0,21,0,0,0,0,0,0,1,0,0,0,29,0,2315,2213
0,11250,1,0,3,0,0,0,36,1,21,36,0,0,0,2,3,0,4,0,13,0,261,0,0,4,0,0,0,0,0,27,36,0,1,0,1,1,0,0,0,23,0,261,0,2315,3058
1,11250,2,0,13,0,0,0,41,1,52,41,0,0,0,4,5,0,1,0,40,0,259,0,0,11,0,0,0,0,0,49,41,0,1,0,5,10,0,0,0,35,0,259,0,2315,3058
2,11250,3,0,3,0,1,0,49,1,11,49,0,1,0,4,4,0,2,1,6,0,112,1,0,2,0,4,0,61,0,7,49,0,1,1,0,0,0,0,3,7,0,112,4,2315,3058
0,8859,1,0,10,0,0,0,0,0,52,0,0,0,0,5,10,0,0,0,40,0,155,0,0,11,0,1,0,0,0,62,0,0,0,1,18,28,0,0,1,33,1,155,1,2315,3605
0,5262,1,0,2,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,16,0,125,0,0,7,0,18,0,41,0,14,0,0,0,2,0,0,0,0,17,10,1,125,18,1054,1484
0,7567,1,0,6,0,0,0,6,1,30,29,0,2,0,3,4,0,1,0,21,0,245,0,0,14,0,0,0,29,2,53,29,0,1,0,5,9,0,4,0,43,0,245,0,1054,1486
1,7567,2,0,10,1,5,0,34,1,48,17,0,0,0,5,5,0,1,5,32,0,248,5,0,17,0,0,0,17,1,61,17,0,2,0,4,9,0,1,0,52,0,248,0,1054,1486
2,7567,3,0,9,0,13,0,73,1,27,0,2,0,0,4,4,2,3,9,20,1,157,10,0,18,0,2,0,0,0,58,0,0,0,0,1,3,0,1,1,54,0,157,2,1054,1486
0,6107,1,0,4,0,0,0,0,0,36,0,0,0,0,4,4,0,2,0,21,0,280,0,0,17,0,0,0,19,0,48,0,0,0,0,4,4,0,0,0,38,0,280,0,1054,1936
1,6107,2,0,12,0,1,0,0,0,43,0,0,0,0,0,0,0,3,1,36,0,231,1,2,25,0,11,0,70,0,63,0,1,0,0,3,3,1,0,9,56,0,231,10,1054,1936
2,6107,3,0,18,0,0,0,0,0,55,0,0,0,0,0,0,0,1,0,45,0,293,0,0,29,0,0,0,0,0,83,0,0,0,0,4,4,0,0,0,75,0,293,0,1054,1936
0,7218,1,0,1,0,0,0,0,0,21,0,0,1,0,10,11,0,3,0,9,0,250,0,0,2,0,3,0,0,1,25,0,1,0,0,8,9,1,1,0,13,0,250,2,1054,2213
1,7218,2,0,5,0,0,0,0,0,29,24,0,0,0,9,10,0,1,0,15,0,274,0,0,7,0,0,0,24,0,45,24,0,0,0,3,5,0,0,0,37,0,274,0,1054,2213
2,7218,3,2,2,1,2,0,5,0,10,123,0,0,0,2,2,0,0,0,8,0,171,2,0,3,0,1,0,123,1,15,123,1,1,0,2,2,1,3,0,13,0,171,0,1054,2213
0,7022,1,0,3,0,0,0,0,0,37,0,0,0,0,4,5,0,0,0,18,0,274,0,0,6,0,0,0,0,0,38,0,0,0,1,1,2,0,0,0,32,1,274,0,1054,2773
0,7832,1,0,2,0,0,0,0,0,29,2,0,0,0,4,5,0,1,0,12,0,243,0,0,7,0,5,0,2,0,36,2,0,0,1,11,13,0,0,4,23,1,243,5,1054,2959
0,7273,1,0,1,0,22,0,26,0,5,26,0,0,1,0,0,0,0,15,2,1,145,22,0,0,0,0,0,0,0,12,26,0,0,0,1,1,0,0,0,6,0,145,0,1484,1974
0,7584,1,0,7,0,0,0,9,1,27,0,0,0,0,3,4,0,2,0,17,0,294,0,0,7,0,0,0,0,0,53,0,0,1,0,4,8,0,0,0,35,0,294,0,1484,2824
1,7584,2,0,9,0,0,0,36,2,24,1,0,0,1,3,3,0,2,0,20,0,216,0,0,26,0,3,0,1,0,68,1,0,3,1,6,11,0,0,3,53,1,216,3,1484,2824
0,7892,1,0,2,0,20,0,54,0,18,7,1,2,0,0,1,1,0,0,16,0,236,4,1,5,1,1,0,4,0,23,7,0,0,1,4,8,0,0,1,12,0,236,1,1486,2726
1,7892,2,0,2,0,12,0,30,0,32,0,0,1,0,5,7,0,0,3,25,0,269,9,0,4,0,1,0,0,0,22,0,0,0,1,5,7,0,1,1,14,0,269,1,1486,2726
2,7892,3,0,1,0,7,0,25,0,37,0,0,0,0,5,10,1,0,0,26,0,275,3,0,4,0,2,0,0,0,34,0,0,0,0,4,11,1,0,0,18,0,275,1,1486,2726
0,7274,1,0,17,0,0,0,31,1,44,30,0,2,0,4,5,0,3,0,38,0,225,0,3,21,0,1,0,30,0,42,30,0,1,2,5,6,0,2,1,31,0,225,1,1486,2824
1,7274,2,0,25,0,0,0,0,0,64,0,0,0,0,7,12,0,0,0,52,0,301,0,0,18,0,0,0,0,0,40,0,0,0,0,4,5,0,4,0,31,0,301,0,1486,2824
2,7274,3,0,24,0,0,0,0,0,64,15,0,2,0,4,7,0,3,0,57,0,274,0,0,36,0,0,0,15,2,61,15,0,0,0,2,2,0,6,0,55,0,274,0,1486,2824
0,7898,1,0,9,0,0,0,0,0,48,0,0,0,0,4,6,0,0,0,42,0,300,0,0,10,0,0,0,0,0,53,0,0,0,0,3,8,0,1,0,40,0,300,0,1936,451
1,7898,2,0,22,0,0,0,0,0,69,0,0,0,0,5,9,0,0,0,60,0,300,0,0,8,0,0,0,0,0,55,0,0,0,0,1,6,0,2,0,44,0,300,0,1936,451
2,7898,3,0,21,0,1,0,0,0,60,44,0,1,0,8,9,0,0,1,51,0,257,1,0,9,0,2,0,44,1,46,44,0,0,0,6,10,0,4,1,34,0,257,2,1936,451
3,7898,4,0,27,0,0,0,0,0,76,0,0,0,0,2,4,0,0,0,72,0,301,0,0,14,0,0,0,0,0,47,0,0,0,0,6,9,0,6,0,35,0,301,0,1936,451
4,7898,5,0,29,0,0,0,0,0,74,0,0,0,0,1,5,0,0,0,69,0,300,0,0,15,0,0,0,0,0,61,0,0,0,0,5,15,0,2,0,40,0,300,0,1936,451
0,5729,1,0,9,0,0,0,0,0,29,0,0,0,0,4,8,0,0,0,19,0,229,0,0,0,0,0,0,0,0,25,0,0,0,0,1,2,0,5,0,8,0,229,0,1936,545
1,5729,2,0,10,0,0,0,0,0,31,0,0,0,0,5,5,0,0,0,25,0,202,0,0,2,0,0,0,0,0,26,0,0,0,0,4,6,0,5,0,14,0,202,0,1936,545
2,5729,3,0,13,0,10,0,0,1,29,129,1,0,0,2,3,1,1,8,24,0,133,9,0,10,0,0,0,129,0,44,129,0,1,0,6,6,0,2,0,33,0,133,0,1936,545
0,6556,1,0,7,0,0,0,0,0,32,0,0,0,0,5,7,0,0,0,25,0,299,0,0,13,0,0,0,0,0,35,0,0,0,0,5,7,0,0,0,27,0,299,0,1936,1052
1,6556,2,0,21,0,0,0,0,0,78,0,0,0,0,7,10,0,0,0,68,0,300,0,0,23,0,0,0,0,0,55,0,0,0,0,6,8,0,0,0,47,0,300,0,1936,1052
2,6556,3,0,19,0,55,0,124,0,42,124,1,0,1,3,3,1,0,40,38,1,128,54,0,5,0,0,0,0,0,23,124,0,0,0,2,4,0,0,0,19,0,128,0,1936,1052
3,6934,1,0,20,0,0,0,0,0,89,0,0,0,0,4,5,0,0,0,83,0,302,0,0,10,0,0,0,0,0,48,0,0,0,0,6,10,0,0,0,36,0,302,0,1936,1052
4,6934,2,0,29,0,0,0,0,0,104,0,0,0,0,11,16,0,0,0,87,0,299,0,0,19,0,0,0,0,0,52,0,0,0,0,6,10,0,0,0,36,0,299,0,1936,1052
5,6934,3,0,72,0,23,0,45,0,181,0,0,0,0,21,24,0,0,14,156,1,244,23,0,36,0,0,0,0,0,63,0,0,0,0,1,1,0,1,0,61,0,244,0,1936,1052
0,10699,1,0,12,0,0,0,0,0,55,0,0,0,0,14,15,0,0,0,28,0,300,0,0,9,0,0,0,0,0,50,0,0,0,0,4,5,0,1,0,40,0,300,0,1936,1494
1,10699,2,1,15,0,3,0,51,0,59,0,0,0,1,16,18,0,0,3,37,0,246,3,0,13,0,0,0,0,0,57,0,0,1,0,2,3,0,0,0,53,0,246,0,1936,1494
2,10699,3,0,4,0,0,0,3,0,11,0,0,0,1,1,2,0,0,0,9,1,20,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,20,0,1936,1494
0,9448,1,0,16,0,0,0,14,1,57,6,0,0,0,8,9,0,2,0,30,0,280,0,0,11,0,4,0,6,0,75,6,1,1,0,6,11,2,3,1,41,0,280,2,1936,2362
1,9448,2,0,29,0,1,0,6,0,109,0,0,0,0,23,34,0,0,0,68,0,275,1,0,15,0,0,0,0,0,84,0,0,0,0,5,7,0,0,0,54,0,275,0,1936,2362
2,9448,3,0,15,0,22,0,171,1,44,5,4,1,0,7,7,4,2,10,35,0,111,18,0,13,0,0,0,5,1,47,5,0,1,0,2,4,0,1,0,38,0,111,0,1936,2362
3,9448,4,1,17,0,7,0,118,1,70,0,1,0,0,12,15,1,1,5,46,0,174,6,0,17,0,0,0,0,0,64,0,0,1,0,3,6,0,0,0,53,0,174,0,1936,2362
4,9448,5,0,36,0,3,0,28,0,91,23,0,1,0,11,13,0,0,1,71,0,217,3,0,21,1,0,0,23,0,78,23,0,0,0,7,11,0,1,0,59,0,217,0,1936,2362
0,10396,1,0,13,0,0,0,0,0,62,0,0,0,0,9,11,0,0,0,46,0,300,0,0,4,0,0,0,0,0,33,0,0,0,0,2,4,0,0,0,21,0,300,0,1936,2570
1,10396,2,0,11,0,0,0,0,0,49,0,0,0,0,8,9,0,0,0,30,0,300,0,0,10,0,0,0,0,0,42,0,0,0,0,6,12,0,0,0,26,0,300,0,1936,2570
2,10396,3,0,20,0,0,0,0,0,51,0,0,0,0,7,7,0,0,0,37,0,300,0,0,11,0,0,0,0,0,45,0,0,0,0,3,5,0,0,0,39,0,300,0,1936,2570
3,10396,4,0,12,0,0,0,0,0,52,0,0,0,0,10,12,0,0,0,33,0,300,0,0,6,0,0,0,0,0,39,0,0,0,0,5,6,0,0,0,31,0,300,0,1936,2570
4,10396,5,0,21,0,0,0,0,0,48,0,0,0,0,8,9,0,0,0,34,0,297,0,0,17,0,0,0,0,0,66,0,0,0,0,2,9,0,0,0,56,0,297,0,1936,2570
0,8152,1,0,13,0,0,0,0,0,40,0,0,0,0,4,4,0,0,0,33,0,300,0,0,11,0,0,0,0,0,56,0,0,0,0,3,4,0,1,0,34,0,300,0,1936,2824
1,8152,2,0,16,0,0,0,0,0,55,0,0,0,0,2,4,0,0,0,46,0,300,0,0,4,0,0,0,0,0,48,0,0,0,0,2,4,0,0,0,19,0,300,0,1936,2824
2,8152,3,0,13,0,0,0,0,0,60,0,0,0,0,3,4,0,0,0,46,0,300,0,0,14,0,0,0,0,0,63,0,0,0,0,6,12,0,0,0,34,0,300,0,1936,2824
3,8152,4,0,24,0,0,0,0,0,71,0,0,0,0,9,11,0,0,0,54,0,299,0,0,20,0,0,0,0,0,75,0,0,0,0,1,6,0,1,0,51,0,299,0,1936,2824
4,8152,5,0,19,0,0,0,0,0,77,0,0,0,0,14,21,0,0,0,54,0,300,0,0,18,0,0,0,0,0,61,0,0,0,0,3,6,0,2,0,40,0,300,0,1936,2824
5,8490,1,0,9,0,0,0,0,0,47,0,0,0,0,6,11,0,0,0,28,0,300,0,0,6,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,19,0,300,0,1936,2824
6,8490,2,0,6,0,0,0,0,0,52,0,0,0,0,5,9,0,0,0,27,0,300,0,0,6,0,0,0,0,0,47,0,0,0,0,1,3,0,0,0,19,0,300,0,1936,2824
7,8490,3,0,2,0,0,0,0,0,47,0,0,0,0,6,11,0,0,0,22,0,266,0,0,10,0,0,0,0,0,52,0,0,0,0,3,4,0,1,0,27,0,266,0,1936,2824
8,8490,4,0,14,0,0,0,0,0,61,0,0,1,0,4,6,0,0,0,45,0,286,0,0,15,0,0,0,8,1,63,0,0,0,0,2,2,0,2,0,38,0,286,0,1936,2824
9,8490,5,0,13,0,0,0,0,0,61,0,0,2,0,6,9,0,0,0,45,0,262,0,0,27,0,1,0,14,2,70,0,0,0,0,0,1,0,6,0,57,0,262,1,1936,2824
